placeid,lat,lon,drogerie
ChIJecaw7zN-s0cRkIRULfBAOiQ,54.4930452,9.0781508,dm
ChIJXU4ZqFlCs0cRJheuiTgZLtQ,54.7980189,9.4744356,dm
ChIJM6Hz9hdzs0cRPVaaZ2srArY,54.530485,9.528944,dm
ChIJJZB8zf0530MREi3J5U5eXMA,54.782444,9.4374,dm
ChIJT9Ztvf9ns0cRa1LpfPW_hVk,54.773483,9.397291,other
ChIJLXj1RHIZs0cRCVFkHQxJJ_o,54.66056,9.93223,other
ChIJZazV9YlHq0cRG4z7zh8sXJU,54.5152218,13.6414503,other
ChIJYS4WKW0aYkERekNBm2TpU_A,54.19402,9.09084,dm
ChIJs4V0hJ-Fs0cRanTST4CiROI,54.2827939,9.164952,other
ChIJPZzT9zTzs0cR856f0g3e1nk,54.0891077,9.0773516,other
ChIJo6yDilN4tEcRCljKEwdR-aQ,54.31685,8.94174,other
ChIJ3ycYQmlWskcRRrMdX10FPpo,54.33276,10.13201,other
ChIJD4Oi5Z2ms0cR9Vi18MgtqWo,54.312199,9.6461793,other
ChIJFW2yBl5WskcRxSljsYJt0dY,54.320519,10.134702,dm
ChIJkftGTmtWskcRDIGg4VFXmtg,54.336928,10.133787,dm
ChIJ2R9WXI1WskcRegSsAB5yA24,54.305569,10.126786,dm
ChIJGxgzR9Gls0cRmyl5UkY2Mt4,54.30269,9.6738587,other
ChIJv37C-d5ZskcRSD75_BcNAfU,54.288428,10.221155,other
ChIJGacXGa1VskcR0zdmfWD2a34,54.323221,10.053816,dm
ChIJE3bSq3kGs0cRcVrT-1F_J_Y,54.46971,9.83692,dm
ChIJcYagQmBWskcR1F-2MGM11qI,54.31803,10.131529,dm
ChIJtzLpUlxWskcRgNd6ub2JZLk,54.322661,10.139071,dm
ChIJ4WuM2FCys0cR1__8hTKI384,54.171402,9.852362,dm
ChIJMQwGfsv5skcRu2yTDHaZE-4,54.398047,10.233483,dm
ChIJh4Ra0M5LskcRJ-owMugCd70,54.070905,9.987741,dm
ChIJAbt8J0kAs0cRl_L1OwKIsO4,54.4088692,9.9748477,other
ChIJc0Uqkfijs0cRTsWOumIfhQw,54.30774,9.60387,other
ChIJIRMY1bb5skcRfxeWmU6OFMM,54.40462,10.22048,other
ChIJOYVhHMhLskcRrqL4q157I50,54.0739776,9.983657,dm
ChIJP0EHboP2skcRmIFBfeEfvGA,54.39237,10.37284,other
ChIJK_siRK32skcRB5ROWgDTFzM,54.4262003,10.3780849,other
ChIJFfKX_iR-skcR575Pj42teaQ,54.28551,10.87961,other
ChIJ1QJaKe4aYkERf70U-cwQgkU,54.2225098,11.0885108,other
ChIJJ-gZETN7rUcRkSqcLnSv4fg,54.44006,11.19431,other
ChIJOxFDJqt1skcRuoguvFw04Lc,53.9968629,10.7841341,other
ChIJD0E68XF3skcRdOB_QPb6r_g,54.1072845,10.8130473,other
ChIJHWJD4bZZrEcRAlZ9MlO-QTI,54.11444,12.189229,dm
ChIJjwT6uVNXrEcReZc_tZNaR4o,54.088668,12.130365,dm
ChIJS4zyI-5WrEcRbk7nalUV6jg,54.122311,12.073302,dm
ChIJ42viNGJWrEcRfPSEAHdLzZQ,54.1391098,12.0592768,dm
ChIJT21piniWrEcRqFHpZLbzfFg,54.4341404,12.6883599,other
ChIJP4kD9mjzrEcRgRIK-bNKrxs,54.2437248,12.4317352,other
ChIJhVAocGjzrEcRP5GdZyoQNzg,54.2425683,12.4324543,other
ChIJmd-FjdmQrEcRLyoAXHM1dGk,54.36472,12.72557,dm
ChIJb2TAPwk-q0cRs-uUx-Yh174,54.3726731,13.6977378,other
ChIJ627SDXB0q0cRpQqOPiUT5T8,54.118145,13.363929,dm
ChIJYbkm-Aw-q0cRQYFjMmTjU6E,54.378532,13.69331,other
ChIJ_brOy-UAYkER4hvMlYU9Tes,54.3727912,13.6978832,other
ChIJrUBAve4ctkcR4ytrGTDtbWs,53.67812,6.99552,other
ChIJI3AkfHjoyUcRmX5NYv26Hf8,53.58653,6.66492,other
ChIJCfiMm96wY0ERbnjxHSUnlB4,53.67812,6.99552,other
ChIJc7QGquKLtkcR9qDHN8PYILw,53.56217,7.91284,other
ChIJt0S-JlG9nkcRJEJ_jAlWfsA,53.7066,7.1435,other
ChIJ77ZHnsgWtkcRkdrem6nwJig,53.5961,7.2078,other
ChIJHc2CS08VtkcRclDMUyuuYPM,53.5287988,7.3258638,other
ChIJ8yVD3YMVtkcRE37jmE_jbPo,53.5218696,7.2740389,other
ChIJu6aoJL2RtkcReH9bO6yVuFg,53.57412,8.09055,other
ChIJ6yQCRu0DtEcRGVNIIUDujLI,53.844165,8.694119,dm
ChIJKeOzM4qxtkcRUBmEbfX6N2I,53.57312,8.63138,other
ChIJ6V7R-BKxtkcR5wVoQqFIUd8,53.5453532,8.5931788,dm
ChIJbUCrm_UEtEcRbFR3SUYNzR0,53.8838106,8.6735902,other
ChIJt69aHMyOsUcRCFAbMHpXsTk,53.571914,10.028942,dm
ChIJg2v-LWOPsUcRgfFBPm19m4Y,53.551672,9.943466,dm
ChIJHfYcnI4fskcR-3txM36bSm8,53.6746295,10.2380196,other
ChIJO0zVPsiJsUcRtQ3wbMGGFXA,53.6424933,10.0465427,other
ChIJt2XnFh6GsUcRgn75wIu55w8,53.6006802,9.9567159,other
ChIJZfo5_lmIsUcR_eiy4SoI5-I,53.628041,10.01175,dm
ChIJuyxizMSIsUcRe3eD29zIIZs,53.594689,10.000532,dm
ChIJs9JU4CHUs0cRfpJc_VXJHaY,53.7606962,9.6581857,dm
ChIJ34lBlhmEsUcRZuTj-_QH-jU,53.58273,9.856123,dm
ChIJAYO9SROAsUcR2htG1lCD39Y,53.671706,9.7694747,dm
ChIJXeBeEvjEs0cRNx8YFd9uqXA,53.925178,9.5164803,other
ChIJazucbpcnskcR-bOAclcetEM,53.682643,10.032088,other
ChIJ7zlHU9-GsUcRHsNe0NvR-rU,53.650898,9.83387,dm
ChIJMTX2KN-wY0ER1s2kB14rByA,53.680874,9.672216,dm
ChIJrfCxmWvzsUcRlv2_ebmxrqM,53.542861,10.213775,dm
ChIJcyhCikTEs0cRp5f5x9PEtqA,53.93974,9.51427,other
ChIJCwAmIz-EsUcRrr84XZWt6k8,53.5703064,9.8628557,dm
ChIJFzDd-A54sUcRFUz0reh-RNk,53.53267,9.68133,other
ChIJLXckPuuwY0ERcLVmHgW0hzI,53.6669404,10.2292417,dm
ChIJ72GVz1q7Y0ERM_O0AzHUNCU,53.57861,9.70413,dm
ChIJJ0nVS2GEsUcReblSlDjpT68,53.5539567,9.8445387,other
ChIJf_SOrRyLsUcR_-mszOrbemw,53.6049696,10.1565278,dm
ChIJ79BUcZPCs0cRmseIdVu7fAI,53.9216978,9.3745673,other
ChIJ9_jq2eEZskcRlUvhS4NTmNs,53.810007,10.375852,dm
ChIJVx_WU67zsUcRJig95--yuK4,53.52211,10.24428,dm
ChIJ6cvznvdksUcR6BdQiiquG7I,53.5954723,9.4183798,dm
ChIJOfmcADMuskcRJsZ5FLXBaaE,53.83036,9.97807,dm
ChIJ_6JAC6IoskcR2B0XRreHvzk,53.7333,9.99737,other
ChIJlUjOh3qHsUcRCQLGX1TGbWM,53.6644042,9.9092635,other
ChIJ22UFySuJsUcRt2OLIOdPUkU,53.58255,10.01601,other
ChIJ6SgWMgWHsUcRppcdI3ZetjQ,53.6409036,9.8974836,other
ChIJ3-DvNzt-sUcRebsZENq2bNI,53.6832043,9.6654216,other
ChIJ44pOYusgskcRLDOoEk9UaTI,53.6783802,10.1458412,other
ChIJ0TzBNZEgskcRVGAXhQ5cQlM,53.66995,10.14291,other
ChIJMdgi3PjEs0cRzRL6MK24f6w,53.92326,9.52049,other
ChIJrxJph1OBsUcR-J7ctyL_0AY,53.5991277,9.8322376,other
ChIJZe0_LDiKsUcR0vpRLd_rRxo,53.625,10.1147,other
ChIJNTMnR9GIsUcRXhx7RZfqRus,53.5859314,10.003958,other
ChIJhRej0VuKsUcRtr4lBvKccmw,53.6255718,10.1402024,other
ChIJH26vOBuPsUcRdNuIh8SLFEE,53.54866,9.9896,dm
ChIJu8UKo7_3sUcRHGeJ520rht4,53.60815,10.41238,other
ChIJZ-XnCITzsUcR6uyo0YAej2c,53.5519642,10.2501149,other
ChIJi60xzl-AsUcRs6A5C_sjK8s,53.6614984,9.7957941,other
ChIJZexfCU3Zs0cRiijhBykuQXM,53.7889385,9.4255554,other
