placeid,DayOfWeek,OpenTime,CloseTime,OpenDuration
ChIJKaMu70SWtEcRiHdp4iw64EU,1,8.0,19.0,11.0
ChIJ14n-8afttEcRXGDR9zJRTas,1,8.5,20.0,11.5
ChIJAwmE1fmYtEcR8PthuDm9TYg,1,8.0,20.0,12.0
ChIJUbfM7o3etEcRa9bIwRp-NPw,1,8.5,19.0,10.5
ChIJ6WJXhqiEtEcRVXN75bSgd3E,1,8.0,21.0,13.0
ChIJu_MaoDR-s0cRIcHG_8jOEfA,1,8.0,20.0,12.0
ChIJOQaZmCRos0cRiQZcDYienhQ,1,8.0,20.0,12.0
ChIJ79sUvJdCs0cRK_3R8Zx9d1g,1,9.0,20.0,11.0
ChIJuxgn43IZs0cRGNaowRri-y0,1,8.0,19.0,11.0
ChIJ__kTzFhBs0cRB9ACZDQka34,1,8.0,19.0,11.0
ChIJJz1_ib1Cs0cR6q8YaMfS_FM,1,8.0,20.0,12.0
ChIJpxmPEyIRs0cRWjUuCjNPsrg,1,8.0,20.0,12.0
ChIJUz2Vxu9Cs0cRQKGrncvTDzM,1,8.0,20.0,12.0
ChIJwyU1Sz9rs0cRe2QZlZUagwA,1,8.0,20.0,12.0
ChIJQQM2tTBds0cRVL9xd7bHAwA,1,8.0,20.0,12.0
ChIJvWS-ggFDs0cRtrdXLol0Ir4,1,8.0,20.0,12.0
ChIJJ-w0yZdCs0cRXUxJakez6sk,1,8.0,20.0,12.0
ChIJx-4DlQlos0cRb-VNr__VLuI,1,8.0,20.0,12.0
ChIJOXVNKHtns0cRtEB6vJ6gPys,1,8.0,20.0,12.0
ChIJSWfS7BVvs0cRvDMPnWoGoKU,1,8.0,20.0,12.0
ChIJecLSdLUMs0cRApzKULM1cbM,1,8.0,18.5,10.5
ChIJU5cGE1Fzs0cRXucnNtdJevs,1,8.0,20.0,12.0
ChIJU-R3nQFDs0cRKCdYR6ABVQ4,1,8.5,20.0,11.5
ChIJbdCuTc9Cs0cRcEFjWmXVy_E,1,8.5,20.0,11.5
ChIJMUHDBrYMs0cR7Ca4lgSI8-Q,1,8.5,20.0,11.5
ChIJ4T85dL5Cs0cRmRVvmQSkcAI,1,8.5,20.0,11.5
ChIJF2HypplHq0cRp6nYzy7QiVA,1,8.5,19.0,10.5
ChIJaek10fBltEcRlqY6E3554fo,1,8.0,20.0,12.0
ChIJd7DHiPd4tEcR-yf_e28rpcg,1,8.0,20.0,12.0
ChIJlaFxbth_s0cRkwy2TwCkup4,1,8.0,19.0,11.0
ChIJQ_4IYbx_s0cRRh8AJJR5bSk,1,8.0,20.0,12.0
ChIJGbmCqcJ0tEcRiZBIj7lQG-k,1,8.0,19.0,11.0
ChIJY9WrlMuOs0cRFlmOQjejGEY,1,8.0,20.0,12.0
ChIJJ_LQKLqOs0cRDjS-fwasCd4,1,8.0,19.0,11.0
ChIJj3nutZKOs0cRUxKpLH9w2hk,1,8.0,21.0,13.0
ChIJJ5vevUrzs0cRbqGdULSqFfo,1,8.0,20.0,12.0
ChIJRepR53pWskcRWhXBjnpPONw,1,8.0,20.0,12.0
ChIJl-AlEmBWskcRODdpE4YETJQ,1,9.0,20.0,11.0
ChIJ1bR0c2tWskcROS07Y8Ib0Nc,1,8.0,20.0,12.0
ChIJ92efGUYAs0cRw7Yh0NhGqiQ,1,8.0,19.0,11.0
ChIJmw_GLVNUskcR-tLvmVn2gzI,1,8.0,20.0,12.0
ChIJo6oOV2hWskcRRiZQnw1xC_g,1,8.5,19.0,10.5
ChIJ4VaEU1xWskcRqyF99rrmfeE,1,8.0,20.0,12.0
ChIJqTjiuDtUskcRXIkn_JCK2Ho,1,8.0,20.0,12.0
ChIJf22dfCuks0cRhwAZLYchWv8,1,8.0,19.0,11.0
ChIJORi9UtWls0cRH3x3_VwtM8E,1,9.0,20.0,11.0
ChIJw7TUTa-ms0cRCxsJ_dXY-FM,1,8.0,20.0,12.0
ChIJlZ7u-V0Gs0cRnq56AQKAW84,1,8.5,20.0,11.5
ChIJNTihle-ls0cRhfKUrYZrsCU,1,8.0,20.0,12.0
ChIJg97r74FWskcROGF-yG3pho4,1,9.0,20.0,11.0
ChIJWdW_mGBWskcRjILRwLuplRc,1,8.0,20.0,12.0
ChIJtwNnbmJWskcRR0qBq4uSnDM,1,8.0,20.0,12.0
ChIJpXSfiMVVskcRtix0krTLz0Q,1,8.0,19.0,11.0
ChIJbTy8XngGs0cRlhtEq4E7IiM,1,8.0,19.0,11.0
ChIJDye7b4RWskcRueR02njatEQ,1,8.0,20.0,12.0
ChIJu4PLgPdWskcRrBiTUgtX8P0,1,8.0,19.0,11.0
ChIJz8UPnlays0cR_dO8TqQA8J4,1,8.0,20.0,12.0
ChIJdU_PpxRXskcRA0Qd1WbP1PY,1,8.0,20.0,12.0
ChIJ4YvTq49LskcR6c__t4PT-98,1,8.0,20.0,12.0
ChIJldbfUNH-skcR9bgcMyZMlB8,1,8.5,20.0,11.5
ChIJm6Rvqt9ZskcR62SgfSReMVs,1,8.0,20.0,12.0
ChIJS-0pRANWskcRPl5pC2gAFUo,1,8.0,19.0,11.0
ChIJv_yHc7pXskcRiu_Qau6-vE8,1,8.0,19.0,11.0
ChIJjR18Z-FNskcRmer18-ro-SA,1,8.0,19.0,11.0
ChIJQSsI8ANLskcRg04tqn3HgGo,1,8.0,20.0,12.0
ChIJi9yFv-P4skcRdh-1sQ8L0L4,1,8.0,19.0,11.0
ChIJy0-KCMdXskcR-8K6E-BYrgo,1,8.0,20.0,12.0
