placeid,lat,lon,opened_sunday,State,city,elevation,population,nearest_hotel,nearest_railstation
ChIJKaMu70SWtEcRiHdp4iw64EU,54.78551,8.82654,1,SH,Nordfriesland,4,8752,10254.1866484,694.630824101
ChIJ14n-8afttEcRXGDR9zJRTas,54.690142,8.5693923,1,SH,Nordfriesland,6,4429,9425.77322719,8963.47642268
ChIJAwmE1fmYtEcR8PthuDm9TYg,54.77286,8.97015,0,SH,Nordfriesland,4,8752,18066.2677597,4216.93008125
ChIJUbfM7o3etEcRa9bIwRp-NPw,54.90806,8.30899,1,SH,Nordfriesland,8,8967,218.557997999,179.200489717
ChIJ6WJXhqiEtEcRVXN75bSgd3E,54.6186956,8.9711495,0,SH,Nordfriesland,11,5146,16281.5201541,288.743332705
ChIJu_MaoDR-s0cRIcHG_8jOEfA,54.48986,9.07925,0,SH,Nordfriesland,14,1658,775.147391794,2502.59776484
ChIJOQaZmCRos0cRiQZcDYienhQ,54.7601567,9.4315198,0,SH,Landkreis Schleswig-Flensburg,39,4429,2695.91269231,2317.15617472
ChIJ79sUvJdCs0cRK_3R8Zx9d1g,54.7832105,9.4367872,0,SH,"Flensburg, Stadt",39,4429,135.640930672,4383.70666708
ChIJuxgn43IZs0cRGNaowRri-y0,54.66232,9.93168,1,SH,Schleswig-Flensburg,12,9677,10483.3401854,3399.37885889
ChIJ__kTzFhBs0cRB9ACZDQka34,54.83436,9.54811,0,SH,Schleswig-Flensburg,19,5946,1343.09786623,13351.0316722
ChIJJz1_ib1Cs0cR6q8YaMfS_FM,54.7832349,9.4367572,1,SH,"Flensburg, Stadt",39,4429,135.094796734,4384.95763737
ChIJpxmPEyIRs0cRWjUuCjNPsrg,54.63441,9.77521,0,SH,Schleswig-Flensburg,26,238,16830.1728394,7171.86830768
ChIJUz2Vxu9Cs0cRQKGrncvTDzM,54.80105,9.45398,0,SH,Schleswig-Flensburg,19,5946,296.806772803,6650.79883296
ChIJwyU1Sz9rs0cRe2QZlZUagwA,54.69262,9.59623,0,SH,Schleswig-Flensburg,38,3581,10282.4960872,4746.66052604
ChIJQQM2tTBds0cRVL9xd7bHAwA,54.80147,9.39571,0,SH,Schleswig-Flensburg,39,4429,2682.18599592,5731.42693189
ChIJvWS-ggFDs0cRtrdXLol0Ir4,54.8149,9.47015,0,SH,"Flensburg, Stadt",19,5946,2153.53299354,8506.1239015
ChIJJ-w0yZdCs0cRXUxJakez6sk,54.78421,9.43564,1,SH,"Flensburg, Stadt",39,4429,169.305610266,4439.40345335
ChIJx-4DlQlos0cRb-VNr__VLuI,54.7584305,9.3963314,0,SH,Landkreis Schleswig-Flensburg,39,4429,3921.64819243,966.80775451
ChIJOXVNKHtns0cRtEB6vJ6gPys,54.7705498,9.321642,0,SH,Schleswig-Flensburg,39,4429,7531.39832834,5523.8826888
ChIJSWfS7BVvs0cRvDMPnWoGoKU,54.6668142,9.3938258,0,SH,Schleswig-Flensburg,36,1358,5241.85593853,9260.94761656
ChIJecLSdLUMs0cRApzKULM1cbM,54.51607,9.56046,0,SH,Schleswig-Flensburg,20,150,429.860225237,15112.9876301
ChIJU5cGE1Fzs0cRXucnNtdJevs,54.50471,9.54269,0,SH,Schleswig-Flensburg,20,150,1033.60956132,16577.0236686
ChIJU-R3nQFDs0cRKCdYR6ABVQ4,54.8150779,9.4698,0,SH,"Flensburg, Stadt",19,5946,2157.58924359,8511.0864501
ChIJbdCuTc9Cs0cRcEFjWmXVy_E,54.799574,9.4230386,0,SH,"Flensburg, Stadt",39,4429,1154.15067006,5708.58936407
ChIJMUHDBrYMs0cR7Ca4lgSI8-Q,54.5165,9.56439,0,SH,Schleswig-Flensburg,20,150,650.105311607,15025.0663372
ChIJ4T85dL5Cs0cRmRVvmQSkcAI,54.78772,9.43325,0,SH,"Flensburg, Stadt",39,4429,182.732440256,4706.74289536
ChIJF2HypplHq0cRp6nYzy7QiVA,54.510573,13.613151,0,MV,Rügen,32,10779,5292.67337932,16050.1815989
ChIJaek10fBltEcRlqY6E3554fo,54.3056204,8.6489416,1,SH,Nordfriesland,0,5008,756.461138306,102.677538582
ChIJd7DHiPd4tEcR-yf_e28rpcg,54.3233895,8.9537044,0,SH,Nordfriesland,0,5008,1475.57781063,1466.63823142
ChIJlaFxbth_s0cRkwy2TwCkup4,54.47754,9.05247,0,SH,Nordfriesland,14,1658,401.312572516,633.923327443
ChIJQ_4IYbx_s0cRRh8AJJR5bSk,54.46971,9.08986,0,SH,Nordfriesland,14,1658,1569.89231027,2240.06577737
ChIJGbmCqcJ0tEcRiZBIj7lQG-k,54.13006,8.85913,1,SH,Dithmarschen,5,3146,17389.7413152,21097.4356143
ChIJY9WrlMuOs0cRFlmOQjejGEY,54.20507,9.08685,0,SH,Dithmarschen,4,54,1472.70967758,15524.5679884
ChIJJ_LQKLqOs0cRDjS-fwasCd4,54.19471,9.09599,0,SH,Dithmarschen,4,54,388.104148411,16798.1681357
ChIJj3nutZKOs0cRUxKpLH9w2hk,54.1991016,9.1237834,0,SH,Dithmarschen,4,54,963.766249773,17602.5001726
ChIJJ5vevUrzs0cRbqGdULSqFfo,54.0892891,9.0798998,0,SH,Dithmarschen,4,7719,11747.3778449,14106.4471761
ChIJRepR53pWskcRWhXBjnpPONw,54.32528,10.11816,0,SH,"Kiel, Landeshauptstadt",6,6047,654.208952191,1484.81125192
ChIJl-AlEmBWskcRODdpE4YETJQ,54.3158872,10.1299258,0,SH,"Kiel, Landeshauptstadt",6,6047,155.868362693,190.961773897
ChIJ1bR0c2tWskcROS07Y8Ib0Nc,54.3352212,10.1336511,0,SH,"Kiel, Landeshauptstadt",6,6047,736.932598828,2308.35746388
ChIJ92efGUYAs0cRw7Yh0NhGqiQ,54.4079645,9.9740401,0,SH,Rendsburg-Eckernförde,8,461,9610.91170565,8438.00646909
ChIJmw_GLVNUskcR-tLvmVn2gzI,54.32186,10.05274,0,SH,Rendsburg-Eckernförde,6,6047,1407.60629019,5185.07884773
ChIJo6oOV2hWskcRRiZQnw1xC_g,54.3286685,10.1333562,0,SH,"Kiel, Landeshauptstadt",6,6047,321.443648695,1579.74597667
ChIJ4VaEU1xWskcRqyF99rrmfeE,54.32287,10.13893,0,SH,"Kiel, Landeshauptstadt",6,6047,134.863949935,1043.62033265
ChIJqTjiuDtUskcRXIkn_JCK2Ho,54.3056,10.07689,0,SH,"Kiel, Landeshauptstadt",6,6047,1325.84781865,3689.27306171
ChIJf22dfCuks0cRhwAZLYchWv8,54.30515,9.66264,0,SH,Rendsburg-Eckernförde,13,10144,11286.4643946,12224.7299655
ChIJORi9UtWls0cRH3x3_VwtM8E,54.31057,9.66239,0,SH,Rendsburg-Eckernförde,13,10144,10765.3681558,12191.707949
ChIJw7TUTa-ms0cRCxsJ_dXY-FM,54.31932,9.6238499,0,SH,Rendsburg-Eckernförde,13,10144,11459.9236542,14674.8335133
ChIJlZ7u-V0Gs0cRnq56AQKAW84,54.4512491,9.8334409,1,SH,Rendsburg-Eckernförde,4,23383,7068.25006919,15007.1075202
ChIJNTihle-ls0cRhfKUrYZrsCU,54.2941601,9.7078086,0,SH,Rendsburg-Eckernförde,13,10144,11439.7580704,9561.35481044
ChIJg97r74FWskcROGF-yG3pho4,54.31148,10.09921,0,SH,Rendsburg-Eckernförde,6,6047,1472.92903308,2132.13194341
ChIJWdW_mGBWskcRjILRwLuplRc,54.3195209,10.1332435,0,SH,"Kiel, Landeshauptstadt",6,6047,42.9202993736,567.82693639
ChIJtwNnbmJWskcRR0qBq4uSnDM,54.317,10.12247,0,SH,"Kiel, Landeshauptstadt",6,6047,236.948671688,657.901361739
ChIJpXSfiMVVskcRtix0krTLz0Q,54.33074,10.08679,0,SH,Rendsburg-Eckernförde,6,6047,1395.52389179,3425.62363915
ChIJbTy8XngGs0cRlhtEq4E7IiM,54.47103,9.8372499,1,SH,Rendsburg-Eckernförde,4,23383,9022.73892935,17188.726371
ChIJDye7b4RWskcRueR02njatEQ,54.30919,10.10857,0,SH,"Kiel, Landeshauptstadt",6,6047,1039.6277078,1610.43717604
ChIJu4PLgPdWskcRrBiTUgtX8P0,54.31202,10.1464,0,SH,"Kiel, Landeshauptstadt",6,6047,916.681210739,995.377334076
ChIJz8UPnlays0cR_dO8TqQA8J4,54.16767,9.85612,0,SH,Rendsburg-Eckernförde,30,6396,12490.3171067,4770.63090301
ChIJdU_PpxRXskcRA0Qd1WbP1PY,54.29441,10.18487,0,SH,"Kiel, Landeshauptstadt",6,6047,3514.76182103,4113.14029603
ChIJ4YvTq49LskcR6c__t4PT-98,54.10024,9.97666,0,SH,Plön,31,2149,2658.35738766,2720.58089251
ChIJldbfUNH-skcR9bgcMyZMlB8,54.41117,10.12716,0,SH,Rendsburg-Eckernförde,6,6047,2245.37687834,5705.7969781
ChIJm6Rvqt9ZskcR62SgfSReMVs,54.2887805,10.2188749,0,SH,Plön,25,7611,4733.6666682,6342.26975019
ChIJS-0pRANWskcRPl5pC2gAFUo,54.35541,10.13055,0,SH,"Kiel, Landeshauptstadt",6,6047,1711.38077263,3306.62933438
ChIJv_yHc7pXskcRiu_Qau6-vE8,54.32618,10.18338,0,SH,"Kiel, Landeshauptstadt",6,6047,21.4805744897,3597.95909409
ChIJjR18Z-FNskcRmer18-ro-SA,54.1739,10.04256,0,SH,Rendsburg-Eckernförde,31,2149,11534.7309051,10324.1035311
ChIJQSsI8ANLskcRg04tqn3HgGo,54.0716431,9.9406016,0,SH,"Neumünster, Stadt",31,2149,1921.3311286,2601.22175825
ChIJi9yFv-P4skcRdh-1sQ8L0L4,54.3965,10.17264,0,SH,"Kiel, Landeshauptstadt",6,6047,3448.88943337,6669.08135654
ChIJy0-KCMdXskcR-8K6E-BYrgo,54.33465,10.19013,0,SH,"Kiel, Landeshauptstadt",6,6047,1053.82796112,4405.4354258
ChIJb0Z91274skcRbG5c8G7XllM,54.3695,10.20369,0,SH,Plön,6,6047,4390.88399391,7696.4422076
ChIJz8ewyMhLskcR2grZ7UgCN8w,54.0725298,9.9864715,0,SH,"Neumünster, Stadt",31,2149,322.762290008,570.4127636
ChIJ4R3WLrf5skcRVeNdYOEAR64,54.40516,10.2210699,1,SH,Plön,6,6047,6715.24084232,9895.37081198
ChIJEYJGOlZ1s0cRHWiR3FLOVNc,54.41201,9.50933,0,SH,Schleswig-Flensburg,20,150,9758.20646501,24491.3930297
ChIJZ9Rs4b5bskcR90RVbLlP_N0,54.2343,10.28182,0,SH,Plön,31,15768,1054.70211117,13216.5810908
ChIJz8ewyMhLskcRKRd9w1RgM-s,54.07154,9.98715,0,SH,"Neumünster, Stadt",31,2149,429.345745602,677.693689624
ChIJt5t6QIC3s0cR15U4X_Rf4QE,54.08965,9.65127,1,SH,Rendsburg-Eckernförde,37,126,19403.8836934,16929.7479489
ChIJAciyc4P2skcR1W0xLjwV5Nk,54.39217,10.37299,1,SH,Plön,6,6047,14317.6538686,3299.87136002
ChIJxYmiECBHskcREXrsRpOHv3A,54.04293,10.21397,0,SH,Segeberg,38,142,12749.8543708,15719.2578897
ChIJYeeAgQBoskcRS1T7Nx2cuRQ,54.15836,10.41715,1,SH,Plön,40,3178,2034.57234406,14514.7795751
ChIJUc81lCR_skcRRbWlshs0bmM,54.22056,10.88668,0,SH,Ostholstein,10,1202,9797.31667771,17564.9708812
ChIJEZTlPPaBskcREesGSBCNb14,54.37276,10.97826,1,SH,Ostholstein,15,9308,6986.44398707,29195.0083344
ChIJw8UhkXiAskcRAcg6rv6H48Y,54.2922179,10.9125213,0,SH,Ostholstein,9,9940,14413.2453385,20979.7752105
ChIJkyuSfyh-skcRDFFHawBw8Eo,54.29122,10.88651,0,SH,Ostholstein,9,9940,14822.2932937,19395.4020163
ChIJ01O-WTJ7rUcRBQXXpyfTQBU,54.43908,11.1966,1,SH,Ostholstein,5,12942,3125.44171671,45020.2511341
ChIJBYYfwqiHrUcRV1TGeh_IpzU,54.15022,10.95674,1,SH,Ostholstein,4,1074,764.554180125,17642.056435
ChIJXUFF_nF3skcReQsX6kZvkiI,54.10711,10.81202,0,SH,Ostholstein,11,16176,3507.84945051,7347.99689985
ChIJH7hIjotvskcRIR5KwLAt9H0,54.13617,10.61612,0,SH,Ostholstein,41,1140,5463.78137183,6788.73371914
